pid,project_id,authors,sort_year,title,location,host,pres_date,type,url
prs_88,,"Zoss, Angela M. and Monson, Eric",2015,Practical data visualization,"Durham, NC",Duke Science and Society’s Faculty SciComm Fellows Program,"April 20, 2015",Presentation,
prs_89,,"Zoss, Angela M. and Monson, Eric",2015,Practical Data Visualization,"Durham, NC",Bass Connections course on North Carolina in the Global Economy: The Workforce Development Challenge,"September 21, 2015",Guest lecture,
prs_90,,"Zoss, Angela M. and Monson, Eric",2015,Practical Data Visualization,"Durham, NC",Bass Connections course called Energy Data Analytics Lab,"September 29, 2015",Guest lecture,
prs_91,,"Zoss, Angela M.",2015,Text-based disease classification of medical literature,"Durham, NC",the Duke Center for Health Informatics Informatics Research Seminar Series,"February 11, 2015",Presentation,
prs_92,,"Zoss, Angela M.",2015,Tools for Data Visualization,"Durham, NC",Bass Connections course on The University as a Laboratory for Smart Grid Data Analytics,"February 23, 2015",Guest lecture,
prs_93,,"Zoss, Angela M.",2014,Better PowerPoint Presentations,"Durham, NC",Duke Nicholas Institute,"April 7, 2014",Panel presentation,
prs_94,,"Zoss, Angela M.",2014,Coauthorship and email networks as proxies for collaboration,"Durham, NC",the HASTAC NSF EAGER-sponsored event entitled Big (and messy) Data & Collaboration Workshop & Conference,"May 28, 2014",Presentation,
prs_95,,"Zoss, Angela M.",2014,Comparison in Visualization,"Durham, NC",undergraduate course on Data Visualization,"January 31, 2014",Guest lecture,
prs_96,,"Zoss, Angela M.",2014,"Creating clean, effective charts and graphs","Durham, NC",MediaLab: A Research Translation Boot Camp,"August 21, 2014",,
prs_97,,"Zoss, Angela M.",2014,Data Visualization for Energy and Peacebuilding,"Durham, NC",Bass Connections course on Exploring the Intersection of Energy and Peace-building through Film,"October 29, 2014",Guest lecture,
prs_98,,"Zoss, Angela M.",2014,Data Visualization on the Web (Advanced),"Durham, NC",Duke University Libraries’ Data and Visualization Services department workshop series,Spring 2014,Workshop,
prs_99,,"Zoss, Angela M.",2014,Data Visualization on the Web (Introduction),"Durham, NC",Duke University Libraries’ Data and Visualization Services department workshop series,Spring 2014 to Fall 2014,Workshop,
prs_100,,"Zoss, Angela M.",2014,Data Visualization Tips for Cartographers,"Durham, NC",graduate course on applications of GIS to conservation and land management,"January 21, 2014",Guest lecture,
prs_101,,"Zoss, Angela M.",2014,Design and support recommendations from data visualization research,"Raleigh, NC",Science Boot Camp Southeast,"July 18, 2014",Invited presentation,
prs_102,,"Zoss, Angela M. and Monson, Eric",2014,Designing Academic Figures and Posters,"Beaufort, NC","Duke University Marine Lab, Research Experience for Undergraduates in Estuarine and Coastal Marine Systems","June 1, 2014",Full-day workshop for undergraduates,
prs_103,,"Zoss, Angela M.",2014,From imagination to visualization: Getting comfortable with data representations,"Raleigh, NC",THATCamp Digital Knowledge 2014,"March 28, 2014",Presentation,
prs_104,,"Zoss, Angela M.",2014,Information Visualization and Relational Data,"Durham, NC",graduate course on Historical and Cultural Visualization,"October 17, 2014",Guest lecture,
